entrez_gene_id	gene_symbol	gene_name	positive	sources	testing
6198	RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1	0		0
6199	RPS6KB2	ribosomal protein S6 kinase, 70kDa, polypeptide 2	0		0
6200	RPS6KB3	ribosomal protein S6 kinase, 70kDa, polypeptide 3	0		0
6201	RPS7	ribosomal protein S7	0		0
6202	RPS8	ribosomal protein S8	0		1
6203	RPS9	ribosomal protein S9	0		0
6204	RPS10	ribosomal protein S10	0		0
6205	RPS11	ribosomal protein S11	0		0
6206	RPS12	ribosomal protein S12	0		1
6207	RPS13	ribosomal protein S13	0		0
6208	RPS14	ribosomal protein S14	0		0
6209	RPS15	ribosomal protein S15	0		0
6210	RPS15A	ribosomal protein S15a	0		0
6217	RPS16	ribosomal protein S16	0		1
6218	RPS17	ribosomal protein S17	0		0
6222	RPS18	ribosomal protein S18	0		0
6223	RPS19	ribosomal protein S19	0		0
6224	RPS20	ribosomal protein S20	0		0
6227	RPS21	ribosomal protein S21	0		0
6228	RPS23	ribosomal protein S23	0		0
6229	RPS24	ribosomal protein S24	0		1
6230	RPS25	ribosomal protein S25	0		1
6231	RPS26	ribosomal protein S26	0		0
6232	RPS27	ribosomal protein S27	0		0
6233	RPS27A	ribosomal protein S27a	0		1
6234	RPS28	ribosomal protein S28	0		0
6235	RPS29	ribosomal protein S29	0		0
6236	RRAD	Ras-related associated with diabetes	0		0
6237	RRAS	related RAS viral (r-ras) oncogene homolog	0		0
6238	RRBP1	ribosome binding protein 1	0		0
6239	RREB1	ras responsive element binding protein 1	0		1
6240	RRM1	ribonucleotide reductase M1	0		0
6241	RRM2	ribonucleotide reductase M2	0		0
6242	RTKN	rhotekin	0		0
6247	RS1	retinoschisin 1	0		1
6248	RSC1A1	regulatory solute carrier protein, family 1, member 1	0		1
6249	CLIP1	CAP-GLY domain containing linker protein 1	0		0
6251	RSU1	Ras suppressor protein 1	0		0
6252	RTN1	reticulon 1	0		0
6253	RTN2	reticulon 2	0		0
6256	RXRA	retinoid X receptor, alpha	0		0
6257	RXRB	retinoid X receptor, beta	0		0
6258	RXRG	retinoid X receptor, gamma	0		0
6259	RYK	receptor-like tyrosine kinase	0		0
6261	RYR1	ryanodine receptor 1 (skeletal)	0		0
6262	RYR2	ryanodine receptor 2 (cardiac)	0		0
6263	RYR3	ryanodine receptor 3	0		1
6264	S7	surface antigen (chromosome 7) 2	0		0
6267	S11	surface antigen (X-linked) 2	0		1
6268	S12	surface antigen (X-linked) 3	0		0
6271	S100A1	S100 calcium binding protein A1	0		0
6272	SORT1	sortilin 1	0		0
6273	S100A2	S100 calcium binding protein A2	0		0
6274	S100A3	S100 calcium binding protein A3	0		1
6275	S100A4	S100 calcium binding protein A4	0		0
6276	S100A5	S100 calcium binding protein A5	0		0
6277	S100A6	S100 calcium binding protein A6	0		1
6278	S100A7	S100 calcium binding protein A7	0		0
6279	S100A8	S100 calcium binding protein A8	0		0
6280	S100A9	S100 calcium binding protein A9	0		0
6281	S100A10	S100 calcium binding protein A10	0		0
6282	S100A11	S100 calcium binding protein A11	0		0
6283	S100A12	S100 calcium binding protein A12	0		0
6284	S100A13	S100 calcium binding protein A13	0		0
6285	S100B	S100 calcium binding protein B	1	DisGeNET	0
6286	S100P	S100 calcium binding protein P	0		1
6288	SAA1	serum amyloid A1	0		0
6289	SAA2	serum amyloid A2	0		0
6291	SAA4	serum amyloid A4, constitutive	0		0
6293	VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae)	0		0
6294	SAFB	scaffold attachment factor B	0		0
6295	SAG	S-antigen; retina and pineal gland (arrestin)	0		0
6296	ACSM3	acyl-CoA synthetase medium-chain family member 3	0		0
6297	SALL2	spalt-like transcription factor 2	0		1
6299	SALL1	spalt-like transcription factor 1	0		0
6300	MAPK12	mitogen-activated protein kinase 12	0		1
6301	SARS	seryl-tRNA synthetase	0		0
6302	TSPAN31	tetraspanin 31	0		0
6303	SAT1	spermidine/spermine N1-acetyltransferase 1	0		1
6304	SATB1	SATB homeobox 1	0		0
6305	SBF1	SET binding factor 1	0		1
6307	MSMO1	methylsterol monooxygenase 1	0		0
6309	SC5D	sterol-C5-desaturase	0		0
6310	ATXN1	ataxin 1	0		0
6311	ATXN2	ataxin 2	0		0
6314	ATXN7	ataxin 7	0		1
6317	SERPINB3	serpin peptidase inhibitor, clade B (ovalbumin), member 3	0		0
6318	SERPINB4	serpin peptidase inhibitor, clade B (ovalbumin), member 4	0		1
6319	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	0		0
6320	CLEC11A	C-type lectin domain family 11, member A	0		0
6322	SCML1	sex comb on midleg-like 1 (Drosophila)	0		0
6323	SCN1A	sodium channel, voltage gated, type I alpha subunit	1	DOAF, DisGeNET	1
6324	SCN1B	sodium channel, voltage gated, type I beta subunit	1	DISEASES, DOAF	0
6326	SCN2A	sodium channel, voltage gated, type II alpha subunit	1	DISEASES, DOAF, DisGeNET	1
6327	SCN2B	sodium channel, voltage gated, type II beta subunit	0		1
6328	SCN3A	sodium channel, voltage gated, type III alpha subunit	1	DISEASES, DisGeNET	1
6329	SCN4A	sodium channel, voltage gated, type IV alpha subunit	1	DISEASES	1
6330	SCN4B	sodium channel, voltage gated, type IV beta subunit	0		0
6331	SCN5A	sodium channel, voltage gated, type V alpha subunit	0		0
6332	SCN7A	sodium channel, voltage gated, type VII alpha subunit	0		0
6334	SCN8A	sodium channel, voltage gated, type VIII alpha subunit	1	DISEASES, DisGeNET	0
6335	SCN9A	sodium channel, voltage gated, type IX alpha subunit	1	DISEASES	0
6336	SCN10A	sodium channel, voltage gated, type X alpha subunit	0		0
6337	SCNN1A	sodium channel, non voltage gated 1 alpha subunit	0		0
6338	SCNN1B	sodium channel, non voltage gated 1 beta subunit	0		0
6339	SCNN1D	sodium channel, non voltage gated 1 delta subunit	0		0
6340	SCNN1G	sodium channel, non voltage gated 1 gamma subunit	0		1
6341	SCO1	SCO1 cytochrome c oxidase assembly protein	0		0
6342	SCP2	sterol carrier protein 2	0		0
6343	SCT	secretin	0		0
6344	SCTR	secretin receptor	0		1
6345	SRL	sarcalumenin	0		1
6346	CCL1	chemokine (C-C motif) ligand 1	0		1
6347	CCL2	chemokine (C-C motif) ligand 2	1	DisGeNET	1
6348	CCL3	chemokine (C-C motif) ligand 3	1	DisGeNET	0
6349	CCL3L1	chemokine (C-C motif) ligand 3-like 1	0		1
6351	CCL4	chemokine (C-C motif) ligand 4	0		1
6352	CCL5	chemokine (C-C motif) ligand 5	0		1
6354	CCL7	chemokine (C-C motif) ligand 7	0		1
6355	CCL8	chemokine (C-C motif) ligand 8	0		0
6356	CCL11	chemokine (C-C motif) ligand 11	0		0
6357	CCL13	chemokine (C-C motif) ligand 13	0		0
6358	CCL14	chemokine (C-C motif) ligand 14	0		0
6359	CCL15	chemokine (C-C motif) ligand 15	0		0
6360	CCL16	chemokine (C-C motif) ligand 16	0		0
6361	CCL17	chemokine (C-C motif) ligand 17	0		1
6362	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	0		0
6363	CCL19	chemokine (C-C motif) ligand 19	0		0
6364	CCL20	chemokine (C-C motif) ligand 20	0		0
6366	CCL21	chemokine (C-C motif) ligand 21	0		0
6367	CCL22	chemokine (C-C motif) ligand 22	0		0
6368	CCL23	chemokine (C-C motif) ligand 23	0		1
6369	CCL24	chemokine (C-C motif) ligand 24	0		0
6370	CCL25	chemokine (C-C motif) ligand 25	0		0
6372	CXCL6	chemokine (C-X-C motif) ligand 6	0		0
6373	CXCL11	chemokine (C-X-C motif) ligand 11	0		0
6374	CXCL5	chemokine (C-X-C motif) ligand 5	0		0
6375	XCL1	chemokine (C motif) ligand 1	0		1
6376	CX3CL1	chemokine (C-X3-C motif) ligand 1	1	DisGeNET	0
6382	SDC1	syndecan 1	0		0
6383	SDC2	syndecan 2	0		0
6385	SDC4	syndecan 4	0		0
6386	SDCBP	syndecan binding protein (syntenin)	0		0
6387	CXCL12	chemokine (C-X-C motif) ligand 12	1	DisGeNET	1
6388	SDF2	stromal cell-derived factor 2	0		0
6389	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	0		0
6390	SDHB	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	0		0
6391	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa	0		0
6392	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	0		0
6395	SEA	S13 erythroblastosis (avian) oncogene homolog	0		0
6396	SEC13	SEC13 homolog (S. cerevisiae)	0		0
6397	SEC14L1	SEC14-like 1 (S. cerevisiae)	0		0
6398	SECTM1	secreted and transmembrane 1	0		0
6399	TRAPPC2	trafficking protein particle complex 2	0		1
6400	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)	0		0
6401	SELE	selectin E	0		1
6402	SELL	selectin L	0		0
6403	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)	0		1
6404	SELPLG	selectin P ligand	0		0
6405	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	0		1
6406	SEMG1	semenogelin I	0		0
6407	SEMG2	semenogelin II	0		1
6414	SEPP1	selenoprotein P, plasma, 1	0		0
6415	SEPW1	selenoprotein W, 1	1	DisGeNET	1
6416	MAP2K4	mitogen-activated protein kinase kinase 4	0		0
6418	SET	SET nuclear proto-oncogene	0		0
6419	SETMAR	SET domain and mariner transposase fusion gene	0		0
6421	SFPQ	splicing factor proline/glutamine-rich	0		0
6422	SFRP1	secreted frizzled-related protein 1	0		0
6423	SFRP2	secreted frizzled-related protein 2	0		0
6424	SFRP4	secreted frizzled-related protein 4	0		0
6425	SFRP5	secreted frizzled-related protein 5	0		0
6426	SRSF1	serine/arginine-rich splicing factor 1	0		0
6427	SRSF2	serine/arginine-rich splicing factor 2	0		0
6428	SRSF3	serine/arginine-rich splicing factor 3	0		0
6429	SRSF4	serine/arginine-rich splicing factor 4	0		0
6430	SRSF5	serine/arginine-rich splicing factor 5	0		0
6431	SRSF6	serine/arginine-rich splicing factor 6	0		0
6432	SRSF7	serine/arginine-rich splicing factor 7	0		0
6433	SFSWAP	splicing factor, suppressor of white-apricot family	0		0
6434	TRA2B	transformer 2 beta homolog (Drosophila)	0		0
6439	SFTPB	surfactant protein B	0		1
6440	SFTPC	surfactant protein C	0		0
6441	SFTPD	surfactant protein D	0		0
6442	SGCA	sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)	0		1
6443	SGCB	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	0		1
6444	SGCD	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	0		0
6445	SGCG	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)	0		0
6446	SGK1	serum/glucocorticoid regulated kinase 1	0		0
6447	SCG5	secretogranin V	0		0
6448	SGSH	N-sulfoglucosamine sulfohydrolase	0		0
6449	SGTA	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	0		0
6450	SH3BGR	SH3 domain binding glutamate-rich protein	0		1
6451	SH3BGRL	SH3 domain binding glutamate-rich protein like	0		0
6452	SH3BP2	SH3-domain binding protein 2	0		0
6453	ITSN1	intersectin 1 (SH3 domain protein)	0		0
6455	SH3GL1	SH3-domain GRB2-like 1	0		0
6456	SH3GL2	SH3-domain GRB2-like 2	0		0
6457	SH3GL3	SH3-domain GRB2-like 3	0		0
6461	SHB	Src homology 2 domain containing adaptor protein B	0		1
6462	SHBG	sex hormone-binding globulin	0		0
6464	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	0		1
6468	FBXW4	F-box and WD repeat domain containing 4	0		0
6469	SHH	sonic hedgehog	0		0
6470	SHMT1	serine hydroxymethyltransferase 1 (soluble)	0		0
6472	SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)	0		1
6473	SHOX	short stature homeobox	0		0
6474	SHOX2	short stature homeobox 2	0		0
6476	SI	sucrase-isomaltase (alpha-glucosidase)	0		0
6477	SIAH1	siah E3 ubiquitin protein ligase 1	0		0
6478	SIAH2	siah E3 ubiquitin protein ligase 2	0		0
6480	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	0		0
6482	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	0		0
6483	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	0		1
6484	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	0		0
6487	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	1	DISEASES	0
6489	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	0		1
6490	PMEL	premelanosome protein	0		0
6491	STIL	SCL/TAL1 interrupting locus	0		0
6492	SIM1	single-minded family bHLH transcription factor 1	0		0
6493	SIM2	single-minded family bHLH transcription factor 2	0		1
6494	SIPA1	signal-induced proliferation-associated 1	0		1
6495	SIX1	SIX homeobox 1	0		0
6496	SIX3	SIX homeobox 3	1	DISEASES	0
6497	SKI	SKI proto-oncogene	0		1
6498	SKIL	SKI-like proto-oncogene	0		0
6499	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)	0		1
6500	SKP1	S-phase kinase-associated protein 1	0		1
6502	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase	0		0
6503	SLA	Src-like-adaptor	0		1
6504	SLAMF1	signaling lymphocytic activation molecule family member 1	0		0
6505	SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	1	DISEASES, DisGeNET	0
6506	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	1	DISEASES, DisGeNET	1
6507	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	1	DISEASES, DisGeNET	0
6508	SLC4A3	solute carrier family 4 (anion exchanger), member 3	0		0
6509	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	0		1
6510	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	0		1
6511	SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	0		0
6512	SLC1A7	solute carrier family 1 (glutamate transporter), member 7	0		1
6513	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	1	DISEASES, DOAF	0
6514	SLC2A2	solute carrier family 2 (facilitated glucose transporter), member 2	0		0
6515	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	0		0
6517	SLC2A4	solute carrier family 2 (facilitated glucose transporter), member 4	0		1
6518	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	0		1
6519	SLC3A1	solute carrier family 3 (amino acid transporter heavy chain), member 1	0		0
6520	SLC3A2	solute carrier family 3 (amino acid transporter heavy chain), member 2	0		0
6521	SLC4A1	solute carrier family 4 (anion exchanger), member 1 (Diego blood group)	0		0
6522	SLC4A2	solute carrier family 4 (anion exchanger), member 2	0		0
6523	SLC5A1	solute carrier family 5 (sodium/glucose cotransporter), member 1	0		1
6524	SLC5A2	solute carrier family 5 (sodium/glucose cotransporter), member 2	0		0
6525	SMTN	smoothelin	0		0
6526	SLC5A3	solute carrier family 5 (sodium/myo-inositol cotransporter), member 3	0		1
6527	SLC5A4	solute carrier family 5 (glucose activated ion channel), member 4	0		0
6528	SLC5A5	solute carrier family 5 (sodium/iodide cotransporter), member 5	0		0
6529	SLC6A1	solute carrier family 6 (neurotransmitter transporter), member 1	1	DISEASES, DisGeNET	0
6530	SLC6A2	solute carrier family 6 (neurotransmitter transporter), member 2	0		1
6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter), member 3	0		0
6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter), member 4	1	DOAF	0
6533	SLC6A6	solute carrier family 6 (neurotransmitter transporter), member 6	0		1
6534	SLC6A7	solute carrier family 6 (neurotransmitter transporter), member 7	0		1
6535	SLC6A8	solute carrier family 6 (neurotransmitter transporter), member 8	1	DISEASES	0
6536	SLC6A9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9	0		0
6538	SLC6A11	solute carrier family 6 (neurotransmitter transporter), member 11	0		1
6539	SLC6A12	solute carrier family 6 (neurotransmitter transporter), member 12	0		0
6540	SLC6A13	solute carrier family 6 (neurotransmitter transporter), member 13	0		0
6541	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	0		0
6542	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	0		0
6543	SLC8A2	solute carrier family 8 (sodium/calcium exchanger), member 2	1	DisGeNET	1
6545	SLC7A4	solute carrier family 7, member 4	0		0
6546	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	1	DisGeNET	1
6547	SLC8A3	solute carrier family 8 (sodium/calcium exchanger), member 3	1	DisGeNET	0
6548	SLC9A1	solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1	0		0
6549	SLC9A2	solute carrier family 9, subfamily A (NHE2, cation proton antiporter 2), member 2	0		1
6550	SLC9A3	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3	0		1
6553	SLC9A5	solute carrier family 9, subfamily A (NHE5, cation proton antiporter 5), member 5	0		0
6554	SLC10A1	solute carrier family 10 (sodium/bile acid cotransporter), member 1	0		1
6555	SLC10A2	solute carrier family 10 (sodium/bile acid cotransporter), member 2	0		0
6556	SLC11A1	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1	0		1
6557	SLC12A1	solute carrier family 12 (sodium/potassium/chloride transporter), member 1	0		0
6558	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporter), member 2	1	DISEASES, DisGeNET	0
6559	SLC12A3	solute carrier family 12 (sodium/chloride transporter), member 3	0		1
6560	SLC12A4	solute carrier family 12 (potassium/chloride transporter), member 4	0		0
6561	SLC13A1	solute carrier family 13 (sodium/sulfate symporter), member 1	0		0
6563	SLC14A1	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)	0		0
6564	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1	0		0
6565	SLC15A2	solute carrier family 15 (oligopeptide transporter), member 2	0		0
6566	SLC16A1	solute carrier family 16 (monocarboxylate transporter), member 1	0		0
6567	SLC16A2	solute carrier family 16, member 2 (thyroid hormone transporter)	0		0
6568	SLC17A1	solute carrier family 17 (organic anion transporter), member 1	0		0
6569	SLC34A1	solute carrier family 34 (type II sodium/phosphate cotransporter), member 1	0		0
6570	SLC18A1	solute carrier family 18 (vesicular monoamine transporter), member 1	0		0
6571	SLC18A2	solute carrier family 18 (vesicular monoamine transporter), member 2	0		0
6572	SLC18A3	solute carrier family 18 (vesicular acetylcholine transporter), member 3	0		1
6573	SLC19A1	solute carrier family 19 (folate transporter), member 1	0		1
6574	SLC20A1	solute carrier family 20 (phosphate transporter), member 1	0		1
6575	SLC20A2	solute carrier family 20 (phosphate transporter), member 2	0		0
6576	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	0		1
6578	SLCO2A1	solute carrier organic anion transporter family, member 2A1	0		0
6579	SLCO1A2	solute carrier organic anion transporter family, member 1A2	1	DisGeNET	1
6580	SLC22A1	solute carrier family 22 (organic cation transporter), member 1	0		0
6581	SLC22A3	solute carrier family 22 (organic cation transporter), member 3	0		1
6582	SLC22A2	solute carrier family 22 (organic cation transporter), member 2	0		0
6583	SLC22A4	solute carrier family 22 (organic cation/zwitterion transporter), member 4	0		0
6584	SLC22A5	solute carrier family 22 (organic cation/carnitine transporter), member 5	0		0
6585	SLIT1	slit homolog 1 (Drosophila)	0		0
6586	SLIT3	slit homolog 3 (Drosophila)	0		0
6588	SLN	sarcolipin	0		0
6590	SLPI	secretory leukocyte peptidase inhibitor	0		0
6591	SNAI2	snail family zinc finger 2	0		0
6594	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	0		0
6595	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	0		0
6596	HLTF	helicase-like transcription factor	0		0
6597	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0		1
6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	0		1
6599	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	0		0
6601	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	0		0
6602	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	0		0
6603	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	0		0
6604	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	0		0
6605	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	0		1
6606	SMN1	survival of motor neuron 1, telomeric	0		1
6607	SMN2	survival of motor neuron 2, centromeric	0		0
6608	SMO	smoothened, frizzled class receptor	0		1
6609	SMPD1	sphingomyelin phosphodiesterase 1, acid lysosomal	0		0
6610	SMPD2	sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase)	0		1
6611	SMS	spermine synthase	0		0
6612	SUMO3	small ubiquitin-like modifier 3	0		1
6613	SUMO2	small ubiquitin-like modifier 2	0		1
6614	SIGLEC1	sialic acid binding Ig-like lectin 1, sialoadhesin	0		0
6615	SNAI1	snail family zinc finger 1	0		0
6616	SNAP25	synaptosomal-associated protein, 25kDa	0		1
6617	SNAPC1	small nuclear RNA activating complex, polypeptide 1, 43kDa	0		1
6618	SNAPC2	small nuclear RNA activating complex, polypeptide 2, 45kDa	0		0
6619	SNAPC3	small nuclear RNA activating complex, polypeptide 3, 50kDa	0		0
6620	SNCB	synuclein, beta	0		1
6621	SNAPC4	small nuclear RNA activating complex, polypeptide 4, 190kDa	0		0
6622	SNCA	synuclein, alpha (non A4 component of amyloid precursor)	0		0
6623	SNCG	synuclein, gamma (breast cancer-specific protein 1)	0		1
6624	FSCN1	fascin actin-bundling protein 1	0		1
6625	SNRNP70	small nuclear ribonucleoprotein 70kDa (U1)	0		0
6626	SNRPA	small nuclear ribonucleoprotein polypeptide A	0		0
6627	SNRPA1	small nuclear ribonucleoprotein polypeptide A'	0		0
6628	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	0		0
6629	SNRPB2	small nuclear ribonucleoprotein polypeptide B	0		0
6631	SNRPC	small nuclear ribonucleoprotein polypeptide C	0		1
6632	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide 16kDa	0		0
6633	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa	0		1
6634	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide 18kDa	0		1
6635	SNRPE	small nuclear ribonucleoprotein polypeptide E	1	DISEASES	0
6636	SNRPF	small nuclear ribonucleoprotein polypeptide F	0		0
6637	SNRPG	small nuclear ribonucleoprotein polypeptide G	0		0
6638	SNRPN	small nuclear ribonucleoprotein polypeptide N	0		0
6640	SNTA1	syntrophin, alpha 1	1	DisGeNET	1
6641	SNTB1	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	0		0
6642	SNX1	sorting nexin 1	0		1
6643	SNX2	sorting nexin 2	0		0
6645	SNTB2	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)	0		1
6646	SOAT1	sterol O-acyltransferase 1	0		0
6647	SOD1	superoxide dismutase 1, soluble	0		0
6648	SOD2	superoxide dismutase 2, mitochondrial	0		1
6649	SOD3	superoxide dismutase 3, extracellular	0		0
6650	CAPN15	calpain 15	0		1
6651	SON	SON DNA binding protein	0		0
6652	SORD	sorbitol dehydrogenase	0		0
6653	SORL1	sortilin-related receptor, L(DLR class) A repeats containing	0		0
6654	SOS1	son of sevenless homolog 1 (Drosophila)	0		0
6655	SOS2	son of sevenless homolog 2 (Drosophila)	0		1
6656	SOX1	SRY (sex determining region Y)-box 1	0		0
6657	SOX2	SRY (sex determining region Y)-box 2	0		1
6658	SOX3	SRY (sex determining region Y)-box 3	0		0
6659	SOX4	SRY (sex determining region Y)-box 4	0		1
6660	SOX5	SRY (sex determining region Y)-box 5	0		1
6662	SOX9	SRY (sex determining region Y)-box 9	0		0
6663	SOX10	SRY (sex determining region Y)-box 10	0		1
6664	SOX11	SRY (sex determining region Y)-box 11	0		0
6665	SOX15	SRY (sex determining region Y)-box 15	0		1
6666	SOX12	SRY (sex determining region Y)-box 12	0		1
6667	SP1	Sp1 transcription factor	0		0
6668	SP2	Sp2 transcription factor	0		0
6670	SP3	Sp3 transcription factor	0		1
6671	SP4	Sp4 transcription factor	0		0
6672	SP100	SP100 nuclear antigen	0		0
6674	SPAG1	sperm associated antigen 1	0		0
6675	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	0		0
6676	SPAG4	sperm associated antigen 4	0		0
6677	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	0		1
6678	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	0		1
6683	SPAST	spastin	0		1
6687	SPG7	spastic paraplegia 7 (pure and complicated autosomal recessive)	0		1
6688	SPI1	Spi-1 proto-oncogene	0		1
6689	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	0		0
6690	SPINK1	serine peptidase inhibitor, Kazal type 1	0		0
6691	SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	0		1
6692	SPINT1	serine peptidase inhibitor, Kunitz type 1	0		0
6693	SPN	sialophorin	0		0
6694	SPP2	secreted phosphoprotein 2, 24kDa	0		0
6695	SPOCK1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1	0		1
6696	SPP1	secreted phosphoprotein 1	0		0
6697	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	0		0
6698	SPRR1A	small proline-rich protein 1A	0		0
6699	SPRR1B	small proline-rich protein 1B	0		0
6700	SPRR2A	small proline-rich protein 2A	0		0
6701	SPRR2B	small proline-rich protein 2B	0		0
6703	SPRR2D	small proline-rich protein 2D	0		0
6704	SPRR2E	small proline-rich protein 2E	0		0
6705	SPRR2F	small proline-rich protein 2F	0		0
6706	SPRR2G	small proline-rich protein 2G	0		1
6707	SPRR3	small proline-rich protein 3	0		0
6708	SPTA1	spectrin, alpha, erythrocytic 1	0		1
6709	SPTAN1	spectrin, alpha, non-erythrocytic 1	1	DISEASES	0
6710	SPTB	spectrin, beta, erythrocytic	0		0
6711	SPTBN1	spectrin, beta, non-erythrocytic 1	0		1
6712	SPTBN2	spectrin, beta, non-erythrocytic 2	0		0
6713	SQLE	squalene epoxidase	0		0
6714	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	1	DisGeNET	0
6715	SRD5A1	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	0		0
6716	SRD5A2	steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)	0		1
6717	SRI	sorcin	0		0
6718	AKR1D1	aldo-keto reductase family 1, member D1	0		0
6720	SREBF1	sterol regulatory element binding transcription factor 1	0		0
6721	SREBF2	sterol regulatory element binding transcription factor 2	0		1
6722	SRF	serum response factor (c-fos serum response element-binding transcription factor)	0		0
6723	SRM	spermidine synthase	0		1
6725	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	0		0
6726	SRP9	signal recognition particle 9kDa	0		0
6727	SRP14	signal recognition particle 14kDa (homologous Alu RNA binding protein)	0		1
6728	SRP19	signal recognition particle 19kDa	0		1
6729	SRP54	signal recognition particle 54kDa	0		1
6730	SRP68	signal recognition particle 68kDa	0		0
